id,project_code,price_quot_number,po_so_number,asn_dn,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,late_deliveries,product_group,sub_classification,vendor,item_description,molecule_test_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_in_kgs,freight_cost_in_usd,line_item_insurance_in_usd
1,100-CI-T01,NULL,SCMS-4,ASN-8,"Côte d'Ivoire","PMO - US","Direct Drop",EXW,Air,NULL,NULL,2006-06-02,2006-06-02,2006-06-02,0,HRDT,"HIV test","RANBAXY Fine Chemicals LTD.","HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests","HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,NULL,"Test kit",30,19,551.00,29.00,0.97,"Ranbaxy Fine Chemicals LTD",Yes,13.000,780.34,NULL
3,108-VN-T01,NULL,SCMS-13,ASN-85,Vietnam,"PMO - US","Direct Drop",EXW,Air,NULL,NULL,2006-11-14,2006-11-14,2006-11-14,0,ARV,Pediatric,"Aurobindo Pharma Limited","Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,"Oral suspension",240,1000,6200.00,6.20,0.03,"Aurobindo Unit III, India",Yes,358.000,4521.50,NULL
4,100-CI-T01,NULL,SCMS-20,ASN-14,"Côte d'Ivoire","PMO - US","Direct Drop",FCA,Air,NULL,NULL,2006-08-27,2006-08-27,2006-08-27,0,HRDT,"HIV test","Abbott GmbH & Co. KG","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,NULL,"Test kit",100,500,40000.00,80.00,0.80,"ABBVIE GmbH & Co.KG Wiesbaden",Yes,171.000,1653.78,NULL
15,108-VN-T01,NULL,SCMS-78,ASN-50,Vietnam,"PMO - US","Direct Drop",EXW,Air,NULL,NULL,2006-09-01,2006-09-01,2006-09-01,0,ARV,Adult,"SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED)","Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,31920,127360.80,3.99,0.07,"Ranbaxy, Paonta Shahib, India",Yes,1855.000,16007.06,NULL
16,108-VN-T01,NULL,SCMS-81,ASN-55,Vietnam,"PMO - US","Direct Drop",EXW,Air,NULL,NULL,2006-08-11,2006-08-11,2006-08-11,0,ARV,Adult,"Aurobindo Pharma Limited","Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,38000,121600.00,3.20,0.05,"Aurobindo Unit III, India",Yes,7590.000,45450.08,NULL
23,112-NG-T01,NULL,SCMS-87,ASN-57,Nigeria,"PMO - US","Direct Drop",EXW,Air,NULL,NULL,2006-09-28,2006-09-28,2006-09-28,0,ARV,Pediatric,"Aurobindo Pharma Limited","Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,"Oral solution",240,416,2225.60,5.35,0.02,"Aurobindo Unit III, India",Yes,504.000,5920.42,NULL
44,110-ZM-T01,NULL,SCMS-139,ASN-130,Zambia,"PMO - US","Direct Drop",DDU,Air,NULL,NULL,2007-01-08,2007-01-08,2007-01-08,0,ARV,Pediatric,"MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.)","Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Efavirenz,Stocrin/Sustiva,200mg,Capsule,90,135,4374.00,32.40,0.36,"MSD South Granville Australia",Yes,328.000,NULL,NULL
45,109-TZ-T01,NULL,SCMS-140,ASN-94,Tanzania,"PMO - US","Direct Drop",EXW,Air,NULL,NULL,2006-11-24,2006-11-24,2006-11-24,0,ARV,Adult,"Aurobindo Pharma Limited","Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,16667,60834.55,3.65,0.06,"Aurobindo Unit III, India",Yes,1478.000,6212.41,NULL
46,112-NG-T01,NULL,SCMS-156,ASN-93,Nigeria,"PMO - US","Direct Drop",EXW,Air,NULL,NULL,2006-12-07,2006-12-07,2006-12-07,0,ARV,Adult,"Aurobindo Pharma Limited","Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,273,532.35,1.95,0.03,"Aurobindo Unit III, India",No,NULL,NULL,NULL
47,110-ZM-T01,NULL,SCMS-165,ASN-199,Zambia,"PMO - US","Direct Drop",CIP,Air,NULL,2006-11-13,2007-01-30,2007-01-30,2007-01-30,0,ARV,Adult,"ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV)","Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,2800,115080.00,41.10,0.34,"ABBVIE (Abbott) St. P'burg USA",Yes,643.000,NULL,NULL
